periodo,trimestre,entidad_federativa,sexo,mediana_ingreso_nominal_ocupados,inpc,mediana_ingreso_mensual_real_ocupados
2005,1,nacional,Hombres,3305,71.34233466,4632.593
2005,1,nacional,Mujeres,2580,71.34233466,3616.366092
2005,2,Nacional,Hombres,3440,71.74733362,4794.603265
2005,2,Nacional,Mujeres,2580,71.74733362,3595.952449
2005,3,Nacional,Hombres,3440,72.07507965,4772.80083
2005,3,Nacional,Mujeres,2580,72.07507965,3579.600623
2005,4,Nacional,Hombres,3440,72.97075043,4714.217656
2005,4,Nacional,Mujeres,2580,72.97075043,3535.663242
2006,1,Nacional,Hombres,3440,73.98051134,4649.87324
2006,1,Nacional,Mujeres,2600,73.98051134,3514.43908
2006,2,Nacional,Hombres,3500,73.98977327,4730.38346
2006,2,Nacional,Mujeres,2752,73.98977327,3719.43294
2006,3,Nacional,Hombres,3600,74.62779398,4823.93999
2006,3,Nacional,Mujeres,2924,74.62779398,3918.11126
2006,4,Nacional,Hombres,3612,75.99519171,4752.93228
2006,4,Nacional,Mujeres,2800,75.99519171,3684.44363
2007,1,Nacional,Hombres,3793,77.01379356,4924.442525
2007,1,Nacional,Mujeres,3000,77.01379356,3895.406084
2007,2,Nacional,Hombres,3870,76.93022569,5030.532493
2007,2,Nacional,Mujeres,3000,76.93022569,3899.637591
2007,3,Nacional,Hombres,3870,77.60297863,4986.921982
2007,3,Nacional,Mujeres,3000,77.60297863,3865.830994
2007,4,Nacional,Hombres,3870,78.89101846,4905.501381
2007,4,Nacional,Mujeres,3000,78.89101846,3802.714249
2008,1,Nacional,Hombres,4150,80.01150154,5186.754304
2008,1,Nacional,Mujeres,3010,80.01150154,3761.959146
2008,2,Nacional,Hombres,4300,80.71267178,5327.540156
2008,2,Nacional,Mujeres,3010,80.71267178,3729.278109
2008,3,Nacional,Hombres,4300,81.85588869,5253.134587
2008,3,Nacional,Mujeres,3225,81.85588869,3939.85094
2008,4,Nacional,Hombres,4100,83.76784583,4894.47945
2008,4,Nacional,Mujeres,3096,83.76784583,3695.928873
2009,1,Nacional,Hombres,4000,84.95253093,4708.511867
2009,1,Nacional,Mujeres,3010,84.95253093,3543.15518
2009,2,Nacional,Hombres,4000,85.52508663,4676.990293
2009,2,Nacional,Mujeres,3010,85.52508663,3519.435196
2009,3,Nacional,Hombres,3898,86.06038411,4528.796891
2009,3,Nacional,Mujeres,3010,86.06038411,3497.544231
2009,4,Nacional,Hombres,3898,87.09772032,4474.858797
2009,4,Nacional,Mujeres,3000,87.09772032,3444.407028
2010,1,Nacional,Hombres,4000,88.9905221,4494.860695
2010,1,Nacional,Mujeres,3010,88.9905221,3382.382673
2010,2,Nacional,Hombres,4085,88.91221669,4594.419251
2010,2,Nacional,Mujeres,3010,88.91221669,3385.361553
2010,3,Nacional,Hombres,4085,89.21912339,4578.614814
2010,3,Nacional,Mujeres,3010,89.21912339,3373.716178
2010,4,Nacional,Hombres,4085,90.79786153,4499.004636
2010,4,Nacional,Mujeres,3010,90.79786153,3315.056048
2011,1,Nacional,Hombres,4300,92.07227406,4670.244158
2011,1,Nacional,Mujeres,3200,92.07227406,3475.530536
2011,2,Nacional,Hombres,4300,91.84242076,4681.932341
2011,2,Nacional,Mujeres,3225,91.84242076,3511.449256
2011,3,Nacional,Hombres,4300,92.22459385,4662.530699
2011,3,Nacional,Mujeres,3096,92.22459385,3357.022103
2011,4,Nacional,Hombres,4300,93.97611876,4575.63055
2011,4,Nacional,Mujeres,3027,93.97611876,3221.031087
2012,1,Nacional,Hombres,4300,95.64583666,4495.752403
2012,1,Nacional,Mujeres,3225,95.64583666,3371.814302
2012,2,Nacional,Hombres,4300,95.39217385,4507.707317
2012,2,Nacional,Mujeres,3225,95.39217385,3380.780488
2012,3,Nacional,Hombres,4300,96.45474935,4458.049012
2012,3,Nacional,Mujeres,3225,96.45474935,3343.536759
2012,4,Nacional,Hombres,4300,97.83997418,4394.931659
2012,4,Nacional,Mujeres,3440,97.83997418,3515.945327
2013,1,Nacional,Hombres,4300,99.17209,4335.897525
2013,1,Nacional,Mujeres,3440,99.17209,3468.71802
2013,2,Nacional,Hombres,4300,99.64278,4315.41548
2013,2,Nacional,Mujeres,3333,99.64278,3344.948789
2013,3,Nacional,Hombres,4300,99.77251,4309.804271
2013,3,Nacional,Mujeres,3440,99.77251,3447.843417
2013,4,Nacional,Hombres,4300,101.41262,4240.103408
2013,4,Nacional,Mujeres,3440,101.41262,3392.082726
2014,1,Nacional,Hombres,4386,103.29479,4246.099802
2014,1,Nacional,Mujeres,3440,103.29479,3330.274355
2014,2,Nacional,Hombres,4300,103.21634,4166.0069
2014,2,Nacional,Mujeres,3440,103.21634,3332.80552
2014,3,Nacional,Hombres,4300,103.90987,4138.201619
2014,3,Nacional,Mujeres,3440,103.90987,3310.561295
2014,4,Nacional,Hombres,4300,105.65346,4069.909295
2014,4,Nacional,Mujeres,3440,105.65346,3255.927436
2015,1,Nacional,Hombres,4600,106.46359,4320.725826
2015,1,Nacional,Mujeres,3440,106.46359,3231.151487
2015,2,Nacional,Hombres,4644,106.24748,4370.927324
2015,2,Nacional,Mujeres,3440,106.24748,3237.723944
2015,3,Nacional,Hombres,4730,106.6269,4436.028692
2015,3,Nacional,Mujeres,3440,106.6269,3226.202685
2015,4,Nacional,Hombres,4730,108.05639,4377.344135
2015,4,Nacional,Mujeres,3440,108.05639,3183.523008
2016,1,Nacional,Hombres,5000,109.3314184,4573.250831
2016,1,Nacional,Mujeres,3655,109.3314184,3343.046357
2016,2,Nacional,Hombres,5160,108.9660341,4735.420578
2016,2,Nacional,Mujeres,3655,108.9660341,3354.256243
2016,3,Nacional,Hombres,5160,109.5954597,4708.22424
2016,3,Nacional,Mujeres,3870,109.5954597,3531.16818
2016,4,Nacional,Hombres,5160,111.5612702,4625.261071
2016,4,Nacional,Mujeres,3870,111.5612702,3468.945803
2017,1,Nacional,Hombres,5160,114.7749429,4495.754795
2017,1,Nacional,Mujeres,3870,114.7749429,3371.816096
2017,2,Nacional,Hombres,5160,115.6107176,4463.254018
2017,2,Nacional,Mujeres,3870,115.6107176,3347.440513
2017,3,Nacional,Hombres,5160,116.7004604,4421.576387
2017,3,Nacional,Mujeres,4000,116.7004604,3427.578594
2017,4,Nacional,Hombres,5160,118.9174917,4339.142987
2017,4,Nacional,Mujeres,4000,118.9174917,3363.676734
2018,1,Nacional,Hombres,5375,120.8646819,4447.122117
2018,1,Nacional,Mujeres,4300,120.8646819,3557.697694
2018,2,Nacional,Hombres,5400,120.8918491,4466.802385
2018,2,Nacional,Mujeres,4300,120.8918491,3556.898195
2018,3,Nacional,Hombres,5590,122.4329188,4565.765527
2018,3,Nacional,Mujeres,4300,122.4329188,3512.127328
2018,4,Nacional,Hombres,5590,124.6453153,4484.725307
2018,4,Nacional,Mujeres,4300,124.6453153,3449.788698
2019,1,Nacional,Hombres,5934,125.8236563,4716.124277
2019,1,Nacional,Mujeres,4620,125.8236563,3671.805554
2019,2,Nacional,Hombres,5600,125.9861861,4444.931761
2019,2,Nacional,Mujeres,4620,125.9861861,3667.068703
2019,3,Nacional,Hombres,5800,126.4884031,4585.400603
2019,3,Nacional,Mujeres,4620,126.4884031,3652.508756
2019,4,Nacional,Hombres,6000,128.3103621,4676.161693
2019,4,Nacional,Mujeres,4620,128.3103621,3600.644504
2020,1,Nacional,Hombres,6020,130.0945329,4627.404294
2020,1,Nacional,Mujeres,5160,130.0945329,3966.346538
2020,2,Nacional,Hombres,5546,129.4793576,4282.922083
2020,2,Nacional,Mujeres,5000,129.4793576,3861.619406
2020,3,Nacional,Hombres,5600,131.4154937,4261.293582
2020,3,Nacional,Mujeres,5160,131.4154937,3926.477658
2020,4,Nacional,Hombres,6000,132.8278776,4517.124047
2020,4,Nacional,Mujeres,5160,132.8278776,3884.72668
2021,1,Nacional,Hombres,6020,135.2820774,4449.961232
2021,1,Nacional,Mujeres,5160,135.2820774,3814.252484
2021,2,Nacional,Hombres,6377,137.1861139,4648.429653
2021,2,Nacional,Mujeres,5160,137.1861139,3761.313628
2021,3,Nacional,Hombres,6400,139.0369219,4603.093848
2021,3,Nacional,Mujeres,5160,139.0369219,3711.244415
2021,4,Nacional,Hombres,6450,142.1132045,4538.635253
2021,4,Nacional,Mujeres,5160,142.1132045,3630.908202
2022,1,Nacional,Hombres,7310,145.1155361,5037.365534
2022,1,Nacional,Mujeres,5590,145.1155361,3852.103056
2022,2,Nacional,Hombres,7600,147.8513188,5140.299094
2022,2,Nacional,Mujeres,5590,147.8513188,3780.825254
2022,3,Nacional,Hombres,7740,150.8772172,5129.999178
2022,3,Nacional,Mujeres,6000,150.8772172,3976.743549
2022,4,Nacional,Hombres,7740,153.4894772,5042.690965
2022,4,Nacional,Mujeres,6000,153.4894772,3909.062763
2023,1,Nacional,Hombres,8000,155.9355506,5130.324657
2023,1,Nacional,Mujeres,6223,155.9355506,3990.751292
2023,2,Nacional,Hombres,8000,156.2971794,5118.454493
2023,2,Nacional,Mujeres,6223,156.2971794,3981.517789
2023,3,Nacional,Hombres,8600,157.85584,5448.008764
2023,3,Nacional,Mujeres,6450,157.85584,4086.006573
2023,4,Nacional,Hombres,8600,160.2653442,5366.100852
2023,4,Nacional,Mujeres,6450,160.2653442,4024.575639
2024,1,Nacional,Hombres,8600,163.0584186,5274.18337
2024,1,Nacional,Mujeres,7310,163.0584186,4483.055865
2024,2,Nacional,Hombres,8600,163.7556714,5251.726505
2024,2,Nacional,Mujeres,7468,163.7556714,4560.452737
2024,3,Nacional,Hombres,8600,165.8193935,5186.365612
2024,3,Nacional,Mujeres,7468,165.8193935,4503.695161
2024,4,Nacional,Hombres,9000,167.4873554,5373.539977
2024,4,Nacional,Mujeres,7468,167.4873554,4458.844061
2025,1,Nacional,Hombres,9030,169.1244367,5339.263902
2025,1,Nacional,Mujeres,8000,169.1244367,4730.244874
2025,2,Nacional,Hombres,9030,170.671314,5290.871551
2025,2,Nacional,Mujeres,8364,170.671314,4900.647802
